timestamp	run_name	size_bytes	gcs_uri	status
2026-06-22T09:27:52-04:00	cat7b_xl500k_r256_lr2e-4_s2	2583745128	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r256_lr2e-4_s2	OK
2026-06-22T09:28:02-04:00	cat7b_xl500k_r64_lr1e-4_s1	645975704	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r64_lr1e-4_s1	OK
2026-06-22T09:28:10-04:00	cat7b_xl500k_r64_lr2e-5_s0	645975704	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r64_lr2e-5_s0	OK
2026-06-22T09:28:31-04:00	cat7b_xl500k_r64_lr2e-5_s2	645975704	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r64_lr2e-5_s2	OK
2026-06-22T09:28:42-04:00	cat7b_xl500k_r64_lr5e-5_s0	645975704	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r64_lr5e-5_s0	OK
2026-06-22T09:44:03-04:00	cat7b_xl500k_r64_lr1e-4_s2	645975704	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r64_lr1e-4_s2	OK
2026-06-22T10:14:34-04:00	cat7b_xl500k_r256_lr1e-4_s2	2583745128	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r256_lr1e-4_s2	OK
2026-06-23T01:26:52-04:00	cat7b_xl500k_r128_lr1e-4_s1	1291899160	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r128_lr1e-4_s1	OK
2026-06-23T01:27:29-04:00	cat7b_xl500k_r128_lr2e-4_s0	1291899160	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r128_lr2e-4_s0	OK
2026-06-23T01:28:21-04:00	cat7b_xl500k_r128_lr2e-4_s1	1291899160	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r128_lr2e-4_s1	OK
2026-06-23T01:28:59-04:00	cat7b_xl500k_r128_lr2e-5_s0	1291899160	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r128_lr2e-5_s0	OK
2026-06-23T01:30:13-04:00	cat7b_xl500k_r256_lr1e-4_s0	2583745128	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r256_lr1e-4_s0	OK
2026-06-23T01:31:29-04:00	cat7b_xl500k_r256_lr2e-5_s1	2583745128	gs://lawrencf-persona-system/persona-system/lora_artifact_cat_qwen7b/adapters/cat7b_xl500k_r256_lr2e-5_s1	OK
